,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/1/2021,PRNT,EXONE CO/THE,XONE,302104104,1653797.0,70071378.89,11.09
1,1,3/1/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,927482.0,35977026.78,5.7
2,2,3/1/2021,PRNT,HP INC,HPQ,40434L105,1023832.0,30284950.56,4.79
3,3,3/1/2021,PRNT,STRATASYS LTD,SSYS,M85548101,799772.0,29015728.16,4.59
4,4,3/1/2021,PRNT,PTC INC,PTC,69370C100,196431.0,27934452.51,4.42
5,5,3/1/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,22490.0,27651639.34,4.38
6,6,3/1/2021,PRNT,TRIMBLE INC,TRMB,896239100,349407.0,27100006.92,4.29
7,7,3/1/2021,PRNT,MICROSOFT CORP,MSFT,594918104,113415.0,26872550.1,4.25
8,8,3/1/2021,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,428733.0,26439180.49,4.19
9,9,3/1/2021,PRNT,RENISHAW PLC,RSW,0732358,325633.0,26290335.33,4.16
10,10,3/1/2021,PRNT,DASSAULT SYSTEMES SE,DSY,5330047,123620.0,25632258.96,4.06
11,11,3/1/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,401843.0,25424606.61,4.03
12,12,3/1/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,1105553.0,25113796.54,3.98
13,13,3/1/2021,PRNT,ANSYS INC,ANSS,03662Q105,66129.0,22887908.19,3.62
14,14,3/1/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,1070702.0,22270601.6,3.53
15,15,3/1/2021,PRNT,AUTODESK INC,ADSK,052769106,77945.0,22157425.15,3.51
16,16,3/1/2021,PRNT,PROTO LABS INC,PRLB,743713109,143965.0,21718559.9,3.44
17,17,3/1/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,369557.0,16833321.35,2.67
18,18,3/1/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,95216.0,9150257.6,1.45
19,19,3/1/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,12689.0,7170680.79,1.14
20,20,3/1/2021,PRNT,AMETEK INC,AME,031100100,58527.0,7156681.56,1.13
21,21,3/1/2021,PRNT,HEXAGON AB-B SHS,HEXAB,B1XFTL2,79025.0,6694530.96,1.06
22,22,3/1/2021,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,124295.0,6300513.55,1.0
