,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,3/31/2021,PRNT,EXONE CO/THE,XONE,302104104,1543707.0,44813814.21,8.22
1,3/31/2021,PRNT,HP INC,HPQ,40434L105,985456.0,31100991.36,5.7
2,3/31/2021,PRNT,RENISHAW PLC,RSW,0732358,313442.0,27446609.39,5.03
3,3/31/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,21662.0,26505662.74,4.86
4,3/31/2021,PRNT,TRIMBLE INC,TRMB,896239100,336315.0,25573392.6,4.69
5,3/31/2021,PRNT,MICROSOFT CORP,MSFT,594918104,109170.0,25311064.5,4.64
6,3/31/2021,PRNT,DASSAULT SYSTEMES SE,DSY,5330047,118992.0,25221160.75,4.63
7,3/31/2021,PRNT,PTC INC,PTC,69370C100,189081.0,24958692.0,4.58
8,3/31/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,386786.0,23582342.42,4.32
9,3/31/2021,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,412659.0,23456426.68,4.3
10,3/31/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,892714.0,23299835.4,4.27
11,3/31/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,1064114.0,22448610.0,4.12
12,3/31/2021,PRNT,ANSYS INC,ANSS,03662Q105,63649.0,21124466.61,3.87
13,3/31/2021,PRNT,AUTODESK INC,ADSK,052769106,75027.0,20139497.61,3.69
14,3/31/2021,PRNT,STRATASYS LTD,SSYS,M85548101,746542.0,18723273.36,3.43
15,3/31/2021,PRNT,PROTO LABS INC,PRLB,743713109,134385.0,16456787.1,3.02
16,3/31/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,1030570.0,15190601.8,2.79
17,3/31/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,344958.0,11897601.42,2.18
18,3/31/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,91661.0,7851681.26,1.44
19,3/31/2021,PRNT,AMETEK INC,AME,031100100,56347.0,7180861.68,1.32
20,3/31/2021,PRNT,HEXAGON AB-B SHS,HEXAB,B1XFTL2,76061.0,6931550.51,1.27
21,3/31/2021,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,119648.0,6633285.12,1.22
22,3/31/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,12215.0,6404690.95,1.17
23,3/31/2021,PRNT,GENERAL ELECTRIC CO,GE,369604103,417583.0,5553853.9,1.02
24,3/31/2021,PRNT,SIEMENS AG-REG,SIE,5727973,32880.0,5436583.38,1.0
25,3/31/2021,PRNT,MICHELIN (CGDE),ML,4588364,36059.0,5462268.24,1.0
26,3/31/2021,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,462333.0,5362729.16,0.98
27,3/31/2021,PRNT,NUVASIVE INC,NUVA,670704105,81321.0,5306195.25,0.97
28,3/31/2021,PRNT,KAISER ALUMINUM CORP,KALU,483007704,46030.0,5045348.3,0.93
29,3/31/2021,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,39556.0,4911668.52,0.9
30,3/31/2021,PRNT,BERTRANDT AG,BDT,5130861,90559.0,4929991.03,0.9
31,3/31/2021,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,28750.0,4848400.0,0.89
32,3/31/2021,PRNT,MOOG INC-CLASS A,MOG/A,615394202,58675.0,4792574.0,0.88
33,3/31/2021,PRNT,MEDTRONIC PLC,MDT UN,G5960L103,39796.0,4728958.68,0.87
34,3/31/2021,PRNT,STRYKER CORP,SYK,863667101,19138.0,4652447.8,0.85
35,3/31/2021,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,90029.0,4257471.41,0.78
36,3/31/2021,PRNT,ARCONIC CORP,ARNC,03966V107,156152.0,4006860.32,0.73
37,3/31/2021,PRNT,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,1339271.92,1339271.92,0.25
38,3/31/2021,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,211000.0,1357412.46,0.25
39,3/31/2021,PRNT,SGL CARBON SE,SGL,4818351,112500.0,791102.15,0.15
40,3/31/2021,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,18218.0,757686.62,0.14
41,3/31/2021,PRNT,HEXCEL CORP,HXL,428291108,13307.0,755837.6,0.14
42,3/31/2021,PRNT,3M CO,MMM,88579Y101,3792.0,738074.88,0.14
43,3/31/2021,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,35406.0,753793.74,0.14
44,3/31/2021,PRNT,VOESTALPINE AG,VOE,4943402,17367.0,723387.53,0.13
45,3/31/2021,PRNT,XEROX HOLDINGS CORP,XRX UN,98421M106,28303.0,693423.5,0.13
46,3/31/2021,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,19793.0,707058.55,0.13
47,3/31/2021,PRNT,SANDVIK AB,SAND,B1VQ252,24871.0,682751.77,0.13
48,3/31/2021,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,5978.0,666606.78,0.12
49,3/31/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,5435.0,662144.59,0.12
50,3/31/2021,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,3625.0,627930.01,0.12
51,3/31/2021,PRNT,HENKEL AG & CO KGAA VORZUG,HEN3,5076705,5962.0,672056.12,0.12
52,3/31/2021,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,7808.0,611522.56,0.11
53,3/31/2021,PRNT,EASTMAN KODAK CO,KODK,277461406,73084.0,588326.2,0.11
54,3/31/2021,PRNT,TORAY INDUSTRIES INC,3402,6897143,94508.0,617404.87,0.11
