,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,5/4/2021,ARKQ,TESLA INC,TSLA,88160R101,518128.0,354865867.2,11.16
1,1,5/4/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2348596.0,190705995.2,6.0
2,2,5/4/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,2148523.0,165479241.46,5.2
3,3,5/4/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,67119.0,160761415.23,5.05
4,4,5/4/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,767896.0,157372606.24,4.95
5,5,5/4/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5581180.0,147901270.0,4.65
6,6,5/4/2021,ARKQ,DEERE & CO,DE,244199105,297548.0,111214515.96,3.5
7,7,5/4/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,567245.0,108820280.8,3.42
8,8,5/4/2021,ARKQ,TERADYNE INC,TER,880770102,840441.0,105046720.59,3.3
9,9,5/4/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3335489.0,98196796.16,3.09
10,10,5/4/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,237836.0,91640589.16,2.88
11,11,5/4/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2411312.0,90375973.76,2.84
12,12,5/4/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,172846.0,76425587.36,2.4
13,13,5/4/2021,ARKQ,CATERPILLAR INC,CAT,149123101,315758.0,72046502.86,2.27
14,14,5/4/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2006941.0,71386891.37,2.24
15,15,5/4/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,3279218.0,67060008.1,2.11
16,16,5/4/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,691053.0,65145566.31,2.05
17,17,5/4/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,8307845.0,59068777.95,1.86
18,18,5/4/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,588327.0,56961820.14,1.79
19,19,5/4/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1342740.0,55414879.8,1.74
20,20,5/4/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,4649597.0,54446780.87,1.71
21,21,5/4/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,484863.0,53213714.25,1.67
22,22,5/4/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1716775.0,49477455.5,1.56
23,23,5/4/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1206409.0,48594154.52,1.53
24,24,5/4/2021,ARKQ,VUZIX CORP,VUZI,92921W300,2072849.0,44566253.5,1.4
25,25,5/4/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,74168.0,44016482.96,1.38
26,26,5/4/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,48721.0,42267903.55,1.33
27,27,5/4/2021,ARKQ,2U INC,TWOU,90214J101,1008323.0,39364929.92,1.24
28,28,5/4/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,285612.0,38906066.64,1.22
29,29,5/4/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,485574.0,38909044.62,1.22
30,30,5/4/2021,ARKQ,ANSYS INC,ANSS,03662Q105,101608.0,36736372.4,1.15
31,31,5/4/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,143019.0,35012481.39,1.1
32,32,5/4/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1704923.0,34337149.22,1.08
33,33,5/4/2021,ARKQ,PACCAR INC,PCAR,693718108,373340.0,33895538.6,1.07
34,34,5/4/2021,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,139575.0,32201348.25,1.01
35,35,5/4/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,832407.0,30865651.56,0.97
36,36,5/4/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1239076.0,26565789.44,0.84
37,37,5/4/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,2682677.0,26799943.23,0.84
38,38,5/4/2021,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,2613800.0,26503932.0,0.83
39,39,5/4/2021,ARKQ,PROTO LABS INC,PRLB,743713109,217183.0,23166910.61,0.73
40,40,5/4/2021,ARKQ,AUTODESK INC,ADSK,052769106,72431.0,20823912.5,0.65
41,41,5/4/2021,ARKQ,ONE - CLASS A,AONE,G7000X105,2056167.0,20664478.35,0.65
42,42,5/4/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,266734.0,18919442.62,0.59
43,43,5/4/2021,ARKQ,EXONE CO/THE,XONE,302104104,837190.0,18736312.2,0.59
44,44,5/4/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,1600186.0,15841841.4,0.5
45,45,5/4/2021,ARKQ,GALILEO ACQUISITION CORP,GLEO,G3770A102,1495970.0,15214014.9,0.48
46,46,5/4/2021,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,3532060.75,3532060.75,0.11
47,47,5/4/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,165439.0,1346673.46,0.04
