date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2/17/2021,ARKF,"SQUARE INC - A",SQ,852234103,1708009.00,462767958.46,9.34
2/17/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,1308567.00,248313673.92,5.01
2/17/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,796180.00,236624696.00,4.78
2/17/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,1219641.00,205643669.01,4.15
2/17/2021,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,2109517.00,205277099.27,4.14
2/17/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,2081691.00,179649933.30,3.63
2/17/2021,ARKF,"SEA LTD-ADR",SE,81141R100,612556.00,164299770.32,3.32
2/17/2021,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1446251.00,163108187.78,3.29
2/17/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,112653.00,160530525.00,3.24
2/17/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,84503.00,159731795.75,3.22
2/17/2021,ARKF,"YEAHKA LTD",9923,BL58D39,10073600.00,157222353.36,3.17
2/17/2021,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,15274845.00,155255591.37,3.13
2/17/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,57121.00,148575268.23,3.00
2/17/2021,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,490998.00,132976988.34,2.68
2/17/2021,ARKF,"MEITUAN-CLASS B",3690,BGJW376,2268182.00,132063765.09,2.67
2/17/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,291307.00,119916526.55,2.42
2/17/2021,ARKF,"SNAP INC - A",SNAP,83304A106,1860885.00,116714707.20,2.36
2/17/2021,ARKF,"AMAZON.COM INC",AMZN,023135106,31346.00,103712629.44,2.09
2/17/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,3220609.00,101513595.68,2.05
2/17/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,394669.00,100632701.62,2.03
2/17/2021,ARKF,"Z HOLDINGS CORP",4689,6084848,14222830.00,88899403.99,1.79
2/17/2021,ARKF,"APPLE INC",AAPL,037833100,665788.00,87111701.92,1.76
2/17/2021,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,322514.00,87417419.70,1.76
2/17/2021,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,287094.00,78540305.58,1.59
2/17/2021,ARKF,"SPLUNK INC",SPLK,848637104,432456.00,73733748.00,1.49
2/17/2021,ARKF,"INTUIT INC",INTU,461202103,173128.00,71988353.68,1.45
2/17/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,664417.00,71012888.96,1.43
2/17/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,1327279.00,69682147.50,1.41
2/17/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,240855.00,69332520.30,1.40
2/17/2021,ARKF,"LENDINGTREE INC","TREE UW",52603B107,172402.00,59649367.98,1.20
2/17/2021,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,942064.00,57748523.20,1.17
2/17/2021,ARKF,"BASE INC",4477,BKRQ8Q2,449800.00,56501133.36,1.14
2/17/2021,ARKF,"KE HOLDINGS INC",BEKE,482497104,836876.00,55794522.92,1.13
2/17/2021,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,422463.00,52947287.79,1.07
2/17/2021,ARKF,"PING AN HEALTHCARE AND TECHN",1833,BDRYVB3,2975300.00,53229384.41,1.07
2/17/2021,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,389845.00,53124178.15,1.07
2/17/2021,ARKF,"PINDUODUO INC-ADR",PDD,722304102,241625.00,49006382.50,0.99
2/17/2021,ARKF,"NVIDIA CORP",NVDA,67066G104,78100.00,46566344.00,0.94
2/17/2021,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,539243.00,44115469.83,0.89
2/17/2021,ARKF,"DISCOVERY LTD",DSY,6177878,4490739.00,42987169.64,0.87
2/17/2021,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,440763.00,31257669.85,0.63
2/17/2021,ARKF,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,30046121.26,30046121.26,0.61
2/17/2021,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,150056.00,28294559.36,0.57
2/17/2021,ARKF,"BILL.COM HOLDINGS INC",BILL,090043100,137619.00,24225072.57,0.49
2/17/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,1879598.00,23213035.30,0.47
2/17/2021,ARKF,"DRAFTKINGS INC - CL A",DKNG,26142R104,364766.00,21470126.76,0.43
2/17/2021,ARKF,"MARKETAXESS HOLDINGS INC",MKTX,57060D108,32721.00,17528966.91,0.35
2/17/2021,ARKF,"JSC KASPI.KZ GDR-REG S",KSPI,BMXZ8G7,81159.00,6289822.50,0.13
