,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,4/13/2021,ARKF,SQUARE INC - A,SQ,852234103,1894254.0,502356160.8,11.48
1,1,4/13/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1294953.0,210870146.52,4.82
2,2,4/13/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,774596.0,208389561.88,4.76
3,3,4/13/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1424415.0,202281174.15,4.62
4,4,4/13/2021,ARKF,SEA LTD-ADR,SE,81141R100,780858.0,191575701.72,4.38
5,5,4/13/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,150816.0,181280832.0,4.14
6,6,4/13/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2144148.0,180065549.04,4.11
7,7,4/13/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1322132.0,155628157.72,3.55
8,8,4/13/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58860.0,137323877.24,3.14
9,9,4/13/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1658803.0,131460137.75,3.0
10,10,4/13/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,80178.0,127775669.7,2.92
11,11,4/13/2021,ARKF,SNAP INC - A,SNAP,83304A106,1916696.0,119678498.24,2.73
12,12,4/13/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,19408738.0,118367280.98,2.7
13,13,4/13/2021,ARKF,TWILIO INC - A,TWLO,90138F102,300096.0,111353621.76,2.54
14,14,4/13/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,453352.0,110622421.52,2.53
15,15,4/13/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,5518931.0,107122450.71,2.45
16,16,4/13/2021,ARKF,YEAHKA LTD,9923,BL58D39,14383200.0,104373598.21,2.38
17,17,4/13/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,313390.0,97633520.6,2.23
18,18,4/13/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2336382.0,89641171.41,2.05
19,19,4/13/2021,ARKF,DOCUSIGN INC,DOCU,256163106,406512.0,86782181.76,1.98
20,20,4/13/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,332243.0,86220380.93,1.97
21,21,4/13/2021,ARKF,INTUIT INC,INTU,461202103,202951.0,84413409.43,1.93
22,22,4/13/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1367131.0,80414645.42,1.84
23,23,4/13/2021,ARKF,APPLE INC,AAPL,037833100,606427.0,79587479.48,1.82
24,24,4/13/2021,ARKF,JD.COM INC-ADR,JD,47215P106,970900.0,76361285.0,1.74
25,25,4/13/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14652030.0,72607326.84,1.66
26,26,4/13/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,498924.0,66741063.48,1.52
27,27,4/13/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,287722.0,52368281.22,1.2
28,28,4/13/2021,ARKF,DISCOVERY LTD,DSY,6177878,5565033.0,52082829.85,1.19
29,29,4/13/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,4095600.0,51799680.91,1.18
30,30,4/13/2021,ARKF,NVIDIA CORP,NVDA,67066G104,80450.0,48942562.0,1.12
31,31,4/13/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,723554.0,48991841.34,1.12
32,32,4/13/2021,ARKF,BASE INC,4477,BKRQ8Q2,2860400.0,48416220.81,1.11
33,33,4/13/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,817366.0,47431748.98,1.08
34,34,4/13/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,861935.0,45966993.55,1.05
35,35,4/13/2021,ARKF,AMAZON.COM INC,AMZN,023135106,13560.0,45824528.4,1.05
36,36,4/13/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,415539.0,43581730.32,1.0
37,37,4/13/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,2763096.0,41335916.16,0.94
38,38,4/13/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,555372.0,38270684.52,0.87
39,39,4/13/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,171910.0,26408814.2,0.6
40,40,4/13/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,98073.0,22328279.91,0.51
41,41,4/13/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33708.0,18048948.6,0.41
42,42,4/13/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,155059.0,12404720.0,0.28
43,43,4/13/2021,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,10299062.56,10299062.56,0.24
44,44,4/13/2021,ARKF,SPLUNK INC,SPLK,848637104,6444.0,932511.24,0.02
45,45,4/13/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8824.0,635016.18,0.01
46,46,4/13/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,2628.0,479610.0,0.01
