,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,5/4/2021,ARKF,SQUARE INC - A,SQ,852234103,1693713.0,412723983.84,10.04
1,5/4/2021,ARKF,SEA LTD-ADR,SE,81141R100,770652.0,196223412.24,4.77
2,5/4/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,163954.0,183958027.54,4.48
3,5/4/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,692113.0,179319557.17,4.36
4,5/4/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1405813.0,176710694.1,4.3
5,5/4/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58083.0,144492744.43,3.52
6,5/4/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2116134.0,134818897.14,3.28
7,5/4/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1637131.0,131183307.03,3.19
8,5/4/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1267586.0,130814875.2,3.18
9,5/4/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,79128.0,124352025.84,3.03
10,5/4/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,6078500.0,119077815.0,2.9
11,5/4/2021,ARKF,YEAHKA LTD,9923,BL58D39,14198400.0,118924831.64,2.89
12,5/4/2021,ARKF,SNAP INC - A,SNAP,83304A106,1891654.0,111929167.18,2.72
13,5/4/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,19154638.0,110493772.12,2.69
14,5/4/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2920358.0,110251852.95,2.68
15,5/4/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,952956.0,110028299.76,2.68
16,5/4/2021,ARKF,TWILIO INC - A,TWLO,90138F102,296169.0,106597146.48,2.59
17,5/4/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,447430.0,103226575.3,2.51
18,5/4/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,309295.0,99772381.1,2.43
19,5/4/2021,ARKF,JD.COM INC-ADR,JD,47215P106,1290869.0,99422730.38,2.42
20,5/4/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,699094.0,93280112.42,2.27
21,5/4/2021,ARKF,DOCUSIGN INC,DOCU,256163106,401199.0,86297904.9,2.1
22,5/4/2021,ARKF,APPLE INC,AAPL,037833100,598500.0,79325190.0,1.93
23,5/4/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1349271.0,77987863.8,1.9
24,5/4/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,303502.0,73978612.5,1.8
25,5/4/2021,ARKF,INTUIT INC,INTU,461202103,164431.0,67637047.54,1.65
26,5/4/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14461330.0,66929126.61,1.63
27,5/4/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,714102.0,50658395.88,1.23
28,5/4/2021,ARKF,DISCOVERY LTD,DSY,6177878,5492333.0,50384424.46,1.23
29,5/4/2021,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,172047.0,50617947.87,1.23
30,5/4/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,4041900.0,47464208.18,1.15
31,5/4/2021,ARKF,BASE INC,4477,BKRQ8Q2,2822600.0,47157584.2,1.15
32,5/4/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,283963.0,46345601.23,1.13
33,5/4/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,806679.0,46045237.32,1.12
34,5/4/2021,ARKF,AMAZON.COM INC,AMZN,023135106,13392.0,45351874.08,1.1
35,5/4/2021,ARKF,KE HOLDINGS INC-ADR,BEKE,482497104,850669.0,43903027.09,1.07
36,5/4/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,410100.0,42416643.0,1.03
37,5/4/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,2720218.0,41020887.44,1.0
38,5/4/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,548115.0,38252945.85,0.93
39,5/4/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,169663.0,26100955.92,0.64
40,5/4/2021,ARKF,UIPATH INC - CLASS A,PATH,90364P105,264571.0,18766021.03,0.46
41,5/4/2021,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,18617710.25,18617710.25,0.45
42,5/4/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33267.0,16256917.56,0.4
43,5/4/2021,ARKF,STONECO LTD-A,STNE,G85158106,232931.0,14902925.38,0.36
44,5/4/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,153027.0,13007295.0,0.32
45,5/4/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,1893.0,399176.91,0.01
46,5/4/2021,ARKF,NVIDIA CORP,NVDA,67066G104,644.0,382194.68,0.01
