,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,4/16/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3781314.0,727449187.32,7.44
1,4/16/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3719596.0,485481669.92,4.97
2,4/16/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,949055.0,469440565.2,4.8
3,4/16/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,14145610.0,464683288.5,4.75
4,4/16/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3000520.0,426253871.2,4.36
5,4/16/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4401720.0,383829984.0,3.93
6,4/16/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1736429.0,383924451.9,3.93
7,4/16/2021,ARKG,CAREDX INC,CDNA,14167L103,4506820.0,347836367.6,3.56
8,4/16/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,8184396.0,342516972.6,3.5
9,4/16/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,18907679.0,325212078.8,3.33
10,4/16/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3813358.0,321847415.2,3.29
11,4/16/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1333296.0,261499344.48,2.68
12,4/16/2021,ARKG,ACCOLADE INC,ACCD,00437E102,5395825.0,255438355.5,2.61
13,4/16/2021,ARKG,INCYTE CORP,INCY,45337C102,3019902.0,251255846.4,2.57
14,4/16/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1931896.0,239265319.6,2.45
15,4/16/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7720267.0,234927724.81,2.4
16,4/16/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,847377.0,233723524.14,2.39
17,4/16/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,5196900.0,213228807.0,2.18
18,4/16/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2589203.0,202889947.08,2.08
19,4/16/2021,ARKG,INVITAE CORP,NVTA,46185L103,5175105.0,202139601.3,2.07
20,4/16/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2624385.0,178904325.45,1.83
21,4/16/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,3693736.0,158941460.08,1.63
22,4/16/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7293491.0,157539405.6,1.61
23,4/16/2021,ARKG,CODEXIS INC,CDXS,192005106,6347668.0,155835249.4,1.59
24,4/16/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3035517.0,148952819.19,1.52
25,4/16/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2201548.0,141867753.12,1.45
