,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/19/2021,ARKK,TESLA INC,TSLA,88160R101,3741354.0,2443702778.64,10.54
1,1,3/19/2021,ARKK,SQUARE INC - A,SQ,852234103,6500409.0,1458041738.7,6.29
2,2,3/19/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,7489977.0,1388866435.11,5.99
3,3,3/19/2021,ARKK,ROKU INC,ROKU,77543R102,3778308.0,1291992420.6,5.57
4,4,3/19/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3096671.0,820153314.35,3.54
5,5,3/19/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6092385.0,802854495.3,3.46
6,6,3/19/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2705879.0,735268500.67,3.17
7,7,3/19/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,642038.0,717220649.8,3.09
8,8,3/19/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5588951.0,690626675.07,2.98
9,9,3/19/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2175738.0,688229444.16,2.97
10,10,3/19/2021,ARKK,INVITAE CORP,NVTA,46185L103,16071730.0,637565529.1,2.75
11,11,3/19/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4813050.0,616262922.0,2.66
12,12,3/19/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1611283.0,567252180.15,2.45
13,13,3/19/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,5063624.0,514818652.08,2.22
14,14,3/19/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2194491.0,449431756.8,1.94
15,15,3/19/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,19628820.0,438115262.4,1.89
16,16,3/19/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6265329.0,380869349.91,1.64
17,17,3/19/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,5944547.0,369037477.76,1.59
18,18,3/19/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2905227.0,361148768.37,1.56
19,19,3/19/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11640032.0,362586996.8,1.56
20,20,3/19/2021,ARKK,PROTO LABS INC,PRLB,743713109,2862808.0,346113487.2,1.49
21,21,3/19/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,4250853.0,344319093.0,1.49
22,22,3/19/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4783321.0,342055284.71,1.48
23,23,3/19/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2035210.0,342953237.1,1.48
24,24,3/19/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,2694136.0,300773343.04,1.3
25,25,3/19/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7608431.0,293076762.12,1.26
26,26,3/19/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,1187511.0,283114497.51,1.22
27,27,3/19/2021,ARKK,2U INC,TWOU,90214J101,7416229.0,266242621.1,1.15
28,28,3/19/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6127646.0,265020689.5,1.14
29,29,3/19/2021,ARKK,PAGERDUTY INC,PD,69553P100,6953412.0,261170154.72,1.13
30,30,3/19/2021,ARKK,PACCAR INC,PCAR,693718108,2760260.0,262555931.2,1.13
31,31,3/19/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,10754077.0,257882766.46,1.11
32,32,3/19/2021,ARKK,SEA LTD-ADR,SE,81141R100,1187911.0,250958077.86,1.08
33,33,3/19/2021,ARKK,TWITTER INC,TWTR,90184L102,3696407.0,246624275.04,1.06
34,34,3/19/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,2771071.0,236039827.78,1.02
35,35,3/19/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1078246.0,233213827.34,1.01
36,36,3/19/2021,ARKK,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,222625354.33,222625354.33,0.96
37,37,3/19/2021,ARKK,VERACYTE INC,VCYT,92337F107,4457351.0,222154373.84,0.96
38,38,3/19/2021,ARKK,SYNOPSYS INC,SNPS,871607107,943934.0,214641152.26,0.93
39,39,3/19/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6681387.0,212935803.69,0.92
40,40,3/19/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,2299204.0,204307267.44,0.88
41,41,3/19/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,429663.0,203952432.84,0.88
42,42,3/19/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5310116.0,203005734.68,0.88
43,43,3/19/2021,ARKK,TERADYNE INC,TER,880770102,1678734.0,188639339.58,0.81
