,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,3/9/2021,ARKK,TESLA INC,TSLA,88160R101,3641799.0,2453042970.42,10.87
1,3/9/2021,ARKK,SQUARE INC - A,SQ,852234103,6327270.0,1424205204.3,6.31
2,3/9/2021,ARKK,ROKU INC,ROKU,77543R102,3677736.0,1328067246.96,5.88
3,3/9/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,6546735.0,1263781724.4,5.6
4,3/9/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3014255.0,796607311.4,3.53
5,3/9/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5496234.0,759964275.18,3.37
6,3/9/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2633867.0,720573333.86,3.19
7,3/9/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5666915.0,711934531.45,3.15
8,3/9/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,624879.0,706575680.46,3.13
9,3/9/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1975614.0,675877305.54,2.99
10,3/9/2021,ARKK,INVITAE CORP,NVTA,46185L103,16295972.0,632935552.48,2.8
11,3/9/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4684938.0,580744914.48,2.57
12,3/9/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1407177.0,509904657.72,2.26
13,3/9/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,4928736.0,483262564.8,2.14
14,3/9/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2136045.0,455447514.9,2.02
15,3/9/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,19902669.0,425121009.84,1.88
16,3/9/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11330130.0,390549581.1,1.73
17,3/9/2021,ARKK,PROTO LABS INC,PRLB,743713109,2902759.0,370421075.99,1.64
18,3/9/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2945773.0,368309998.19,1.63
19,3/9/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,4137713.0,355305415.31,1.57
20,3/9/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6027497.0,344411178.58,1.53
21,3/9/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6098554.0,327797277.5,1.45
22,3/9/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4655970.0,321727527.0,1.43
23,3/9/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,2633649.0,301315782.09,1.33
24,3/9/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,1981048.0,298365639.28,1.32
25,3/9/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7405834.0,296529593.36,1.31
26,3/9/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6213145.0,281641862.85,1.25
27,3/9/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,1155891.0,279448208.16,1.24
28,3/9/2021,ARKK,2U INC,TWOU,90214J101,7519695.0,278755093.65,1.24
29,3/9/2021,ARKK,PAGERDUTY INC,PD,69553P100,7050415.0,263474008.55,1.17
30,3/9/2021,ARKK,SEA LTD-ADR,SE,81141R100,1156291.0,264177804.77,1.17
31,3/9/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1093304.0,256981105.2,1.14
32,3/9/2021,ARKK,PACCAR INC,PCAR,693718108,2686815.0,255865392.45,1.13
33,3/9/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,10467730.0,253947129.8,1.13
34,3/9/2021,ARKK,TWITTER INC,TWTR,90184L102,3597977.0,242935407.04,1.08
35,3/9/2021,ARKK,VERACYTE INC,VCYT,92337F107,4519554.0,229096192.26,1.02
36,3/9/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,2697325.0,225334530.5,1.0
37,3/9/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6774621.0,212587606.98,0.94
38,3/9/2021,ARKK,SYNOPSYS INC,SNPS,871607107,918839.0,209862827.6,0.93
39,3/9/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5384231.0,206646785.78,0.92
40,3/9/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,418239.0,196835820.57,0.87
