,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/4/2021,ARKW,TESLA INC,TSLA,88160R101,1110140.0,689885401.6,9.56
1,1,3/4/2021,ARKW,SQUARE INC - A,SQ,852234103,1746153.0,381377276.73,5.28
2,2,3/4/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,8309914.0,344030439.6,4.77
3,3,3/4/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1573851.0,308443318.98,4.27
4,4,3/4/2021,ARKW,ROKU INC,ROKU,77543R102,783532.0,282032343.4,3.91
5,5,3/4/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,950294.0,270843292.94,3.75
6,6,3/4/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,230907.0,265413742.08,3.68
7,7,3/4/2021,ARKW,TWITTER INC,TWTR,90184L102,3168968.0,211528614.0,2.93
8,8,3/4/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,815263.0,194904925.41,2.7
9,9,3/4/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,500342.0,171662336.78,2.38
10,10,3/4/2021,ARKW,NETFLIX INC,NFLX,64110L106,335753.0,171667151.37,2.38
11,11,3/4/2021,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,644511.0,167953121.49,2.33
12,12,3/4/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1453923.0,161574462.99,2.24
13,13,3/4/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,6512163.0,158799094.76,2.2
14,14,3/4/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,1134025.0,154794412.5,2.14
15,15,3/4/2021,ARKW,TWILIO INC - A,TWLO,90138F102,416768.0,144222566.4,2.0
16,16,3/4/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1587056.0,137915166.4,1.91
17,17,3/4/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,5416695.0,133954867.35,1.86
18,18,3/4/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,1347290.0,128787451.1,1.78
19,19,3/4/2021,ARKW,AGORA INC-ADR,API,00851L103,2133760.0,127598848.0,1.77
20,20,3/4/2021,ARKW,JD.COM INC-ADR,JD,47215P106,1326865.0,120439536.05,1.67
21,21,3/4/2021,ARKW,DOCUSIGN INC,DOCU,256163106,542383.0,114236707.46,1.58
22,22,3/4/2021,ARKW,HUYA INC-ADR,HUYA,44852D108,4176909.0,108098404.92,1.5
23,23,3/4/2021,ARKW,SEA LTD-ADR,SE,81141R100,471432.0,108278501.76,1.5
24,24,3/4/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,5071532.0,102444946.4,1.42
25,25,3/4/2021,ARKW,NVIDIA CORP,NVDA,67066G104,198585.0,98261843.85,1.36
26,26,3/4/2021,ARKW,KE HOLDINGS INC,BEKE,482497104,1859154.0,97940232.72,1.36
27,27,3/4/2021,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1494804.0,97894713.96,1.36
28,28,3/4/2021,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,137073.0,87748651.68,1.22
29,29,3/4/2021,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,1423103.0,88104306.73,1.22
30,30,3/4/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,1173222.0,82266326.64,1.14
31,31,3/4/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1867029.0,82429330.35,1.14
32,32,3/4/2021,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,318750.0,82122750.0,1.14
33,33,3/4/2021,ARKW,ADOBE INC,ADBE,00724F101,180439.0,79223547.34,1.1
34,34,3/4/2021,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1155892.0,79571605.28,1.1
35,35,3/4/2021,ARKW,HUBSPOT INC,HUBS,443573100,170179.0,78452519.0,1.09
36,36,3/4/2021,ARKW,SNAP INC - A,SNAP,83304A106,1352685.0,78063451.35,1.08
37,37,3/4/2021,ARKW,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,662630.0,77912035.4,1.08
38,38,3/4/2021,ARKW,LENDINGTREE INC,TREE UW,52603B107,330189.0,76947244.56,1.07
39,39,3/4/2021,ARKW,SKILLZ INC,SKLZ,83067L109,2693237.0,76299404.21,1.06
40,40,3/4/2021,ARKW,PAGERDUTY INC,PD,69553P100,1993909.0,76067628.35,1.05
41,41,3/4/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,713703.0,74760389.25,1.04
42,42,3/4/2021,ARKW,VERACYTE INC,VCYT,92337F107,1530879.0,71813533.89,0.99
43,43,3/4/2021,ARKW,MERCADOLIBRE INC,MELI,58733R102,48497.0,70739664.08,0.98
44,44,3/4/2021,ARKW,SYNOPSYS INC,SNPS,871607107,303831.0,69820363.8,0.97
45,45,3/4/2021,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,297416.0,67049463.04,0.93
46,46,3/4/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,348394.0,67236558.06,0.93
47,47,3/4/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,982726.0,66137459.8,0.92
48,48,3/4/2021,ARKW,2U INC,TWOU,90214J101,1751476.0,62300001.32,0.86
49,49,3/4/2021,ARKW,OKTA INC,OKTA,679295105,247873.0,56073830.06,0.78
50,50,3/4/2021,ARKW,LENDINGCLUB CORP,LC,52603A208,4283533.0,46990357.01,0.65
51,51,3/4/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,5877298.0,45784151.42,0.63
52,52,3/4/2021,ARKW,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,18584496.52,18584496.52,0.26
53,53,3/4/2021,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,9477.0,1095446.43,0.02
