,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,5/3/2021,ARKW,TESLA INC,TSLA,88160R101,990327.0,702577586.88,10.57
1,5/3/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,7611861.0,356615687.85,5.37
2,5/3/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1767059.0,304552618.65,4.58
3,5/3/2021,ARKW,SQUARE INC - A,SQ,852234103,1216846.0,297908237.72,4.48
4,5/3/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,240547.0,284449232.97,4.28
5,5/3/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,989997.0,249598043.64,3.76
6,5/3/2021,ARKW,ROKU INC,ROKU,77543R102,644727.0,221122019.19,3.33
7,5/3/2021,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,625334.0,186124411.76,2.8
8,5/3/2021,ARKW,TWITTER INC,TWTR,90184L102,3371023.0,186147890.06,2.8
9,5/3/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,553857.0,176996081.49,2.66
10,5/3/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,1717517.0,174465376.86,2.63
11,5/3/2021,ARKW,JD.COM INC-ADR,JD,47215P106,2183007.0,168877421.52,2.54
12,5/3/2021,ARKW,SEA LTD-ADR,SE,81141R100,661285.0,167000913.9,2.51
13,5/3/2021,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,227927.0,166229440.37,2.5
14,5/3/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,1261506.0,164147160.72,2.47
15,5/3/2021,ARKW,TWILIO INC - A,TWLO,90138F102,441187.0,162268578.6,2.44
16,5/3/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,1388908.0,136599101.8,2.06
17,5/3/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,6534196.0,132448152.92,1.99
18,5/3/2021,ARKW,PINDUODUO INC-ADR,PDD,722304102,950928.0,127357787.04,1.92
19,5/3/2021,ARKW,SKILLZ INC,SKLZ,83067L109,6786918.0,118906803.36,1.79
20,5/3/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,4961656.0,114316554.24,1.72
21,5/3/2021,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,518003.0,108951570.99,1.64
22,5/3/2021,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,1882777.0,106678144.82,1.61
23,5/3/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1327103.0,105717024.98,1.59
24,5/3/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,368375.0,96621078.75,1.45
25,5/3/2021,ARKW,NETFLIX INC,NFLX,64110L106,179067.0,91945532.49,1.38
26,5/3/2021,ARKW,KE HOLDINGS INC-ADR,BEKE,482497104,1702977.0,88639952.85,1.33
27,5/3/2021,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1369212.0,87451570.44,1.32
28,5/3/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1653697.0,81527262.1,1.23
29,5/3/2021,ARKW,SNAP INC - A,SNAP,83304A106,1239056.0,76598441.92,1.15
30,5/3/2021,ARKW,DOCUSIGN INC,DOCU,256163106,342022.0,76250384.68,1.15
31,5/3/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,900165.0,76279982.1,1.15
32,5/3/2021,ARKW,PAGERDUTY INC,PD,69553P100,1774317.0,75337499.82,1.13
33,5/3/2021,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1082039.0,71814928.43,1.08
34,5/3/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,605256.0,71244683.76,1.07
35,5/3/2021,ARKW,LENDINGCLUB CORP,LC,52603A208,4534752.0,69789833.28,1.05
36,5/3/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,3395505.0,68657111.1,1.03
37,5/3/2021,ARKW,HUBSPOT INC,HUBS,443573100,128878.0,67847823.1,1.02
38,5/3/2021,ARKW,VERACYTE INC,VCYT,92337F107,1362284.0,67773629.0,1.02
